reference,name,site-addre,hectares,ownership-,planning_2,water_risk,soil_risk,slope_risk,total_risk
1326-BOL,1326-BOL,Hayward School Site,1.54,owned-by-a-public-authority,not-permissioned,0.6423266600362251,0.5833333333333334,0.9081048152259844,0.7112549361985142
1332-BOL,1332-BOL,Radcliffe Road Caravan Storage Site,2.41,not-owned-by-a-public-authority,not-permissioned,0.9210824785191879,0.5833333333333334,0.9325298970155048,0.8123152362893421
137-BOL,137-BOL,Harrowby Mill,0.86,not-owned-by-a-public-authority,not-permissioned,0.6926199241574568,0.5833333333333334,0.9122032290782526,0.7293854955230142
148-BOL,148-BOL,Ox Hey Lane,0.97,not-owned-by-a-public-authority,not-permissioned,0.7952993541457117,0.5833333333333334,0.8933837809614337,0.7573388228134929
1554-SHLAA,1554-SHLAA,"United Utilities - Manchester Road, Bolton, BL3 2QN",1.65,not-owned-by-a-public-authority,not-permissioned,0.8614175056181237,0.5833333333333334,0.9481091243225517,0.7976199877580029
1555-SHLAA,1555-SHLAA,"Sunset Business Park, Manchester Road, Kearsley, BL4 8RH",2.22,not-owned-by-a-public-authority,not-permissioned,0.8788563987007552,0.5833333333333334,0.9405721348812596,0.800920622305116
1559-SHLAA,1559-SHLAA,"Hoover-Candy Site, Breightmet Fold Lane, Breightmet, BL2 6PS",4.6,not-owned-by-a-public-authority,not-permissioned,0.7980420393555661,0.5833333333333334,0.9024761057207893,0.761283826136563
1579-BOL,1579-BOL,Trinity Quarter Core Shiffnall Street/Carlton St/Salop St,2.72,not-owned-by-a-public-authority,not-permissioned,0.9431576920231699,0.5833333333333334,0.9252616034303173,0.8172508762622734
1580-BOL,1580-BOL,Bolton Bus station redevelopment,1.06,mixed-ownership,not-permissioned,0.9774403996315175,0.5833333333333334,0.9135718983886418,0.8247818771178309
1581-BOL,1581-BOL,Cheadle Square,0.47,mixed-ownership,not-permissioned,0.9664079317491964,0.5833333333333334,0.8157843364808044,0.7885085338544447
1582-BOL,1582-BOL,Queen Street South,0.26,owned-by-a-public-authority,not-permissioned,0.9503499100013774,0.5833333333333334,0.911801505945013,0.8151615830932412
163-BOL,163-BOL,Derby Street/Rothwell Mill,3.95,not-owned-by-a-public-authority,not-permissioned,0.8499597390121146,0.5833333333333334,0.9282466811621918,0.7871799178358799
260-BOL,260-BOL,Brook Saw Mills,0.5,not-owned-by-a-public-authority,not-permissioned,0.9507673698516662,0.5833333333333334,0.7339435675306775,0.7560147569052257
353-BOL,353-BOL,Moss Rose Mill,1.33,not-owned-by-a-public-authority,not-permissioned,0.791431651409127,0.5833333333333334,0.984213463026429,0.7863261492562964
3P6AP-BOL,3P6AP-BOL,Higher Swan Lane Mixed Use Allocation,11.55,mixed-ownership,not-permissioned,0.7775945852374417,0.5833333333333334,0.9323004495406851,0.7644094560371535
56-BOL,56-BOL,Firwood School,2.03,owned-by-a-public-authority,not-permissioned,0.9431926630865257,0.5833333333333334,0.7723309958280532,0.7662856640826373
646-SHLAA,646-SHLAA,"Former British Aerospace, Oxhey Lane, Horwich, BL6 4BS",7.05,not-owned-by-a-public-authority,not-permissioned,0.792301389793454,0.5833333333333334,0.9258152190276002,0.7671499807181292
688-BOL,688-BOL,"Back Fairhaven Road - 007, Fairhaven Road, BL1 8LB",0.2,not-owned-by-a-public-authority,not-permissioned,0.9610044056062039,0.5833333333333334,0.8918958057797262,0.8120778482397544
701-BOL,701-BOL,Darwen Road,0.25,owned-by-a-public-authority,not-permissioned,0.952621912339109,0.5833333333333334,0.9263627248399519,0.8207726568374647
720-BOL,720-BOL,Breightmet Hall IV,1.79,owned-by-a-public-authority,not-permissioned,0.8849952050770777,0.5833333333333334,0.8483084513568075,0.7722123299224061
733-BOL,733-BOL,"Gilnow Road - 001, Bolton, BL1 4LG",0.2,not-owned-by-a-public-authority,not-permissioned,0.9367817969380275,0.5833333333333334,0.8301742956714762,0.7834298086476124
747-SHLAA,747-SHLAA,"Redgate Way - 014C, Bolton, BL4 0NG",1.19,owned-by-a-public-authority,not-permissioned,0.5220801475114517,0.5833333333333334,0.9271963237951703,0.6775366015466519
907-BOL,907-BOL,St Paul's Mill,0.78,not-owned-by-a-public-authority,not-permissioned,0.8074975277752937,0.5833333333333334,0.8771726532006144,0.7560011714364139
922-SHLAA,922-SHLAA,"Milnthorpe Road 1 - S11 - Breightmet, Bolton, BL2 6PW",0.3,not-owned-by-a-public-authority,not-permissioned,0.8349112085870813,0.5833333333333334,0.9075415417639697,0.7752620278947949
927-BOL,927-BOL,Back Bury Road,0.49,not-owned-by-a-public-authority,not-permissioned,0.9387170118258267,0.5833333333333334,0.9336552266894137,0.8185685239495246
959-SHLAA,959-SHLAA,"Weston Street 2 - S22 - Great Lever, Bolton, BL3 2SB",0.79,not-owned-by-a-public-authority,not-permissioned,0.7928852796911021,0.5833333333333334,0.9039145435842458,0.7600443855362271
970-BOL,970-BOL,Nixon Road South,1.01,not-owned-by-a-public-authority,not-permissioned,0.7430420616668548,0.5833333333333334,0.8989570205076679,0.741777471835952
986-BOL,986-BOL,Lever Gardens,0.74,not-owned-by-a-public-authority,not-permissioned,0.8725397702607145,0.5833333333333334,0.9620493454873863,0.8059741496938114
HLA-358,HLA-358,St Osmunds Primary,0.85,not-owned-by-a-public-authority,not-permissioned,0.9038153308961523,0.5833333333333334,0.9162850526749524,0.8011445723014793
HLA-360,HLA-360,"Land at Lostock Lane, Academy Site Lostock, Bolton",1.58,not-owned-by-a-public-authority,not-permissioned,0.8193462262779131,0.5833333333333334,0.8772006686762798,0.759960076095842
HLA-361,HLA-361,Swallowfield Hotel and Brazley Site,0.88,owned-by-a-public-authority,not-permissioned,0.7676759121310104,0.5833333333333334,0.8382386356273358,0.7297492936972265
HLA-74,HLA-74,"Nevada Motors, White Lion Brow, Bolton, BL1 4AD",0.03,not-owned-by-a-public-authority,not-permissioned,0.9732633506564056,0.5833333333333334,0.8963411423173611,0.8176459421023666
1137-BOL,1137-BOL,Beehive Mills,3.63,not-owned-by-a-public-authority,pending-decision,0.8254075489371242,0.5833333333333334,0.9637295464050268,0.7908234762251615
1249-BOL,1249-BOL,"Swallowfield Hotel, Chorley New Road, Horwich, Bolton, BL6 6HN",0.5,not-owned-by-a-public-authority,pending-decision,0.7797155543726757,0.5833333333333334,0.8416150531325896,0.7348879802795328
1041-BOL,1041-BOL,"Minerva House, Chorley Street, Bolton, BL1 4AL",0.89,not-owned-by-a-public-authority,permissioned,0.9488981316120825,0.5833333333333334,0.8791313837709525,0.8037876162387895
1086-BOL,1086-BOL,"Former Greyhound Track, Wigan Road, Westhoughton, BL5 2DD",1.98,not-owned-by-a-public-authority,permissioned,0.8435692134661512,0.5833333333333334,0.9384912462813979,0.7884645976936274
1123-BOL,1123-BOL,"Old Links Golf Club, Chorley Old Road, Bolton, BL1 5SU",0.55,not-owned-by-a-public-authority,permissioned,0.8160103568836874,0.5833333333333334,0.7904691314230545,0.7299376072133584
1131-BOL,1131-BOL,"Lark Hill, Farnworth, Bolton, BL4 9LH",0.14,not-owned-by-a-public-authority,permissioned,0.7093373348160036,0.75,0.9275216766472607,0.7956196704877548
1167-BOL,1167-BOL,Greenland Road,0.45,not-owned-by-a-public-authority,permissioned,0.6512244173179552,0.7135728542914174,0.9316198581586639,0.7654723765893454
1170-BOL,1170-BOL,"Land at 18 Worsley Road, Farnworth, Bolton, BL4 9LN",0.45,not-owned-by-a-public-authority,permissioned,0.6208021862611445,0.75,0.9331066258611956,0.7679696040407801
1180-BOL,1180-BOL,"Former Oldham's Primary School Selkirk Road, Bolton",0.79,owned-by-a-public-authority,permissioned,0.8264833331060198,0.5833333333333334,0.9132210868336851,0.7743459177576795
1189-BOL,1189-BOL,Land at Watersmeeting Road/Eagley Brook,0.5,not-owned-by-a-public-authority,permissioned,0.9972135494315542,0.5833333333333334,0.9376324612071469,0.8393931146573448
1197-SHLAA,1197-SHLAA,"IGW Garage, 241-245 Belmont Road, Bolton",0.33,not-owned-by-a-public-authority,permissioned,0.8233234397471288,0.5833333333333334,0.9368808610373726,0.7811792113726116
1200-BOL,1200-BOL,Land at Moor Lane/Hanover Street/Garside Street,1.06,not-owned-by-a-public-authority,permissioned,0.9864504189983911,0.5833333333333334,0.8608358920164948,0.8102065481160731
1202-BOL,1202-BOL,"Land at Temple Road, Bolton",1.23,not-owned-by-a-public-authority,permissioned,0.9908232892523261,0.5833333333333334,0.592088583996723,0.7220817355274608
1206-BOL,1206-BOL,"Central Post Office and Sorting Depot, Deansgate, Bolton, BL1 1AD",0.44,not-owned-by-a-public-authority,permissioned,0.997242039713466,0.5833333333333334,0.9226125138236294,0.8343959622901429
1211-BOL,1211-BOL,"Site of Union Mill, Vernon Street, Bolton, BL1 2PP",0.79,not-owned-by-a-public-authority,permissioned,0.9050744363288854,0.5833333333333334,0.928067790622701,0.8054918534283066
1213-BOL,1213-BOL,Church Wharf,5.79,mixed-ownership,permissioned,0.9837765343457103,0.5833333333333334,0.8272435933179191,0.7981178203323208
1214-BOL,1214-BOL,"13 Ravenswood Drive, Bolton, BL1 5AJ",0.27,not-owned-by-a-public-authority,permissioned,0.9311745679552186,0.5833333333333334,0.8548841574751519,0.7897973529212345
1216-BOL,1216-BOL,"Site of SS Osmund and Andrew RC Primary School, Withins Drive, Bolton, BL2 5LF",1.24,not-owned-by-a-public-authority,permissioned,0.8858266175683333,0.5833333333333334,0.8642779053668672,0.7778126187561779
1226-BOL,1226-BOL,"Land at Minerva Road, Farnworth, Bolton",0.71,not-owned-by-a-public-authority,permissioned,0.6034261545915222,0.5833333333333334,0.8355732279145828,0.6741109052798128
1233-BOL,1233-BOL,"Land at Old Hall Street/Mabels Brow, Kearsley, Bolton, BL4 9DB",0.25,not-owned-by-a-public-authority,permissioned,0.7355953353918799,0.5833333333333334,0.9147238147584955,0.7445508278279029
1235-BOL,1235-BOL,"Land at Old Hall Street, Kearsley, Bolton",0.43,not-owned-by-a-public-authority,permissioned,0.7643448623458533,0.5833333333333334,0.9318695613836114,0.759849252354266
1257-SHLAA,1257-SHLAA,"Old School House, Lea Gate, Bolton, BL2 3ET",0.27,not-owned-by-a-public-authority,permissioned,0.9758062679428244,0.5833333333333334,0.941908145123246,0.8336825821331346
1289-BOL,1289-BOL,"Creams Mill, Mytham Road, Little Lever, Bolton, BL3 1AU",1.48,not-owned-by-a-public-authority,permissioned,0.9807199096732198,0.5833333333333334,0.5611984985914397,0.708417247199331
1301-BOL,1301-BOL,"Shepherd Cross Street Industrial Estate, Shepherd Cross Street, Bolton, BL1 3DE",0.37,not-owned-by-a-public-authority,permissioned,0.8389917456164875,0.5833333333333334,0.9441651296120446,0.7888300695206217
1308-BOL,1308-BOL,"Dean Conservative Club, Raven Road, BL3 4QL",0.46,not-owned-by-a-public-authority,permissioned,0.846702536815349,0.5833333333333334,0.945627061296707,0.7918876438151298
1321-BOL,1321-BOL,"Former Westhoughton Depot, Park Road, Westhoughton, Bolton, BL5 3DE",0.43,owned-by-a-public-authority,permissioned,0.4735075183318576,0.75,0.9364175295816045,0.719975015971154
1330-BOL,1330-BOL,"Bolton Open Golf Club, Longsight Lane, Bolton, BL2 4JY",0.26,not-owned-by-a-public-authority,permissioned,0.9194292886101564,0.5833333333333334,0.9058792209480448,0.8028806142971782
1337-BOL,1337-BOL,"Land At Hall Lane/Whitley Street/Loxham Street, Farnworth, Bolton",0.67,not-owned-by-a-public-authority,permissioned,0.8877802560531565,0.68972706595906,0.9265812427122131,0.8346961882414764
1338-BOL,1338-BOL,"Halliwell Mills, Bertha Street, BL1 8AH",0.85,not-owned-by-a-public-authority,permissioned,0.9304041782576918,0.5833333333333334,0.9362229587457528,0.8166534901122593
1343-BOL,1343-BOL,"692 Chorley Road, Westhoughton, Bolton, BL5 3NL",0.49,not-owned-by-a-public-authority,permissioned,0.8122419151091165,0.5833333333333334,0.9097330738651943,0.7684361074358813
1347-SHLAA,1347-SHLAA,"30 Churchgate, Bolton, BL1 1HL",0.3,not-owned-by-a-public-authority,permissioned,0.9534554620359643,0.5833333333333334,0.9467528625919012,0.8278472193203995
19-BOL,19-BOL,"Land At Former Horwich Loco Works, Horwich, Bolton",76.7,mixed-ownership,permissioned,0.8641067850088063,0.5833333333333334,0.9319373341410386,0.7931258174943928
29-BOL,29-BOL,"Burnthwaite Old Hall, Old Hall Lane, Bolton, BL6 4LJ",3.38,not-owned-by-a-public-authority,permissioned,0.7735649624063691,0.5833333333333334,0.8993289881760843,0.7520757613052623
30-BOL,30-BOL,"Lostock House Farm, Hall Lane, Lostock, Bolton, BL6 4BS",1.15,not-owned-by-a-public-authority,permissioned,0.819180625379042,0.5833333333333334,0.9189189214806192,0.7738109600643316
908-BOL,908-BOL,"Tonge Fold Mill, Clegg Street, Bolton, BL2 6BL",0.7,not-owned-by-a-public-authority,permissioned,0.9653360759998786,0.5833333333333334,0.9040510475102964,0.8175734856145028
HLA-100,HLA-100,11 Chorley Road Blackrod BL6 5JR,0.14,not-owned-by-a-public-authority,permissioned,0.8463034859890669,0.5833333333333334,0.947813977843896,0.7924835990554321
HLA-124,HLA-124,"Site Of Former City Hotel, 37-39 Eskrick Street, Bolton, BL1 3EN",0.11,not-owned-by-a-public-authority,permissioned,0.7984692401868843,0.5833333333333334,0.8564391563962529,0.7460805766388234
HLA-164,HLA-164,"Vale House, Vale Avenue, Horwich, Bolton, BL6 5RF",0.22,not-owned-by-a-public-authority,permissioned,0.9572736347579792,0.5833333333333334,0.8908967985669962,0.8105012555527695
HLA-175,HLA-175,"Car Sales Adjacent To Bromilow Arms, Lostock Lane, Lostock, Bolton, BL6 4BP",0.17,not-owned-by-a-public-authority,permissioned,0.7587774054266888,0.5833333333333334,0.9273262279081141,0.7564789888893788
HLA-181,HLA-181,"Spa Mill, Spa Road, Bolton, BL1 4AG",0.05,not-owned-by-a-public-authority,permissioned,0.9698103338931364,0.5833333333333334,0.853750719525931,0.8022981289174669
HLA-191,HLA-191,"Bridgeman Buildings, Exchange Street, Bolton, BL1 1RS",0.02,not-owned-by-a-public-authority,permissioned,0.9338136176186571,0.5833333333333334,0.9455532576500334,0.8209000695340078
HLA-192,HLA-192,"231 St Georges Road, Bolton, BL1 2PG",0.1,not-owned-by-a-public-authority,permissioned,0.8985595333163648,0.5833333333333334,0.9411146294426493,0.8076691653641159
HLA-215,HLA-215,"Land adjacent Former Howcroft Inn, Back Lane, Bolton",0.16,not-owned-by-a-public-authority,permissioned,0.9451185488301708,0.5833333333333334,0.867090563423528,0.7985141485290107
HLA-217,HLA-217,"Land adjacent 235 Manchester Road, Bolton, BL3 2QP",0.06,not-owned-by-a-public-authority,permissioned,0.8593678054497571,0.5833333333333334,0.9118173721164435,0.784839503633178
HLA-221,HLA-221,"86 Lee Lane, Horwich, Bolton, BL6 7AE",0.1,not-owned-by-a-public-authority,permissioned,0.9437153636304736,0.5833333333333334,0.9039209253234427,0.8103232074290831
HLA-224,HLA-224,"18 Mealhouse Lane, Bolton, BL1 1DD",0.05,not-owned-by-a-public-authority,permissioned,0.9545661121183617,0.5833333333333334,0.9018560739660688,0.8132518398059213
HLA-238,HLA-238,"Colemans, Chorley Old Road, Horwich, Bolton, BL6 6QD",0.31,not-owned-by-a-public-authority,permissioned,0.5997532509401089,0.5833333333333334,0.7605304814785572,0.6478723552506666
HLA-250,HLA-250,"68 Chorley Old Road, Bolton, BL1 3AE",0.01,not-owned-by-a-public-authority,permissioned,0.8583780373623952,0.5833333333333334,0.8926201479277124,0.7781105062078136
HLA-284,HLA-284,"Manor Golf Club , Manor Road, Kearsley, Bolton",0.41,not-owned-by-a-public-authority,permissioned,0.7526179345454708,0.5833333333333334,0.9344688445253736,0.7568067041347258
HLA-289,HLA-289,"124 Newport Street, Bolton, BL3 6AB",0.02,not-owned-by-a-public-authority,permissioned,0.8861417885924834,0.5833333333333334,0.8995927658224839,0.7896892959161002
HLA-290,HLA-290,"2 Harrison Street, Horwich, Bolton, BL6 7AH",0.07,not-owned-by-a-public-authority,permissioned,0.9789031901618718,0.5833333333333334,0.895220534843365,0.8191523527795234
HLA-293,HLA-293,"Land Adjacent 9 Wigan Road, Westhoughton, Bolton, BL5 3RD",0.04,not-owned-by-a-public-authority,permissioned,0.5092437511201267,0.5833333333333334,0.9281224200146652,0.6735665014893751
HLA-295,HLA-295,"19-23 Manchester Road, Bolton, BL2 1EH",0.11,not-owned-by-a-public-authority,permissioned,0.9111651390389,0.5833333333333334,0.9361127064837703,0.8102037262853345
HLA-296,HLA-296,"18 St Georges Street, Bolton, BL1 2EN",0.02,not-owned-by-a-public-authority,permissioned,0.98120367311933,0.5833333333333334,0.9300343263529159,0.8315237776018597
HLA-300,HLA-300,"Former Blackrod Civic Amenity Site, Blackhorse Street, Blackrod, Bolton, BL6 5EW",0.48,not-owned-by-a-public-authority,permissioned,0.8562478259659733,0.5833333333333334,0.9087168516419294,0.7827660036470787
HLA-303,HLA-303,"Lincoln House, Nelson Street, Bolton, BL3 2JW",0.33,not-owned-by-a-public-authority,permissioned,0.7985752832556461,0.5833333333333334,0.9776712393611284,0.786526618650036
HLA-309,HLA-309,"106-110 St Georges Road, Bolton, BL1 2BZ",0.08,not-owned-by-a-public-authority,permissioned,0.9628675413206977,0.5833333333333334,0.882249829366539,0.8094835680068567
HLA-310,HLA-310,"Old Cobblestones, Greenwoods Lane, Bolton, BL2 4EQ",0.26,not-owned-by-a-public-authority,permissioned,0.7153867051875435,0.5833333333333334,0.895436974869624,0.731385671130167
HLA-312,HLA-312,"Garage Colony, Dorset Close, Farnworth, Bolton",0.06,not-owned-by-a-public-authority,permissioned,0.6754532812140638,0.5833333333333334,0.9646866159225128,0.74115774348997
HLA-321,HLA-321,"Derelict Pockets Snooker Club, Market Street, Westhoughton, Bolton, BL5 3AZ",0.17,not-owned-by-a-public-authority,permissioned,0.49963580999872886,0.5833333333333334,0.8860534153260804,0.6563408528860476
HLA-322,HLA-322,"Breightmet Methodist Church, Bury Road, Bolton, BL2 6PY",0.23,not-owned-by-a-public-authority,permissioned,0.8445496129960364,0.5833333333333334,0.9520508940676821,0.7933112801323506
HLA-330,HLA-330,"Land Adjacent 249 Hulton Lane, Bolton, BL3 4LE",0.35,not-owned-by-a-public-authority,permissioned,0.7520169129061005,0.5833333333333334,0.9523515410168165,0.7625672624187501
HLA-331,HLA-331,"Land At Junction Hatfield Road and Shepherd Cross Street, Bolton",0.54,not-owned-by-a-public-authority,permissioned,0.7706687527869042,0.5833333333333334,0.8677668361273401,0.7405896407491926
HLA-339,HLA-339,"Mere Brow, Chorley Old Road, Horwich, Bolton, BL6 6AX",0.43,not-owned-by-a-public-authority,permissioned,0.8245288869579475,0.5833333333333334,0.8691781786907095,0.7590134663273301
HLA-340,HLA-340,"Land North Of Christ Church, Markland Hill, Bolton, BL1 5AF",0.48,not-owned-by-a-public-authority,permissioned,0.9215553165477348,0.5833333333333334,0.8215045183167246,0.7754643893992643
